Title,Price
Counter-Strike 2,Free
Clair Obscur: Expedition 33,Rp 449 100
The Elder Scrolls IV: Oblivion Remastered,Rp 699 000
Steam Deck,N/A
Schedule I,Rp 165 999
R.E.P.O.,Rp 90 999
V Rising,Rp 284 999
Forza Horizon 5,Rp 349 500
V Rising - Eternal Dominance Pack,Rp 165 999
PUBG: BATTLEGROUNDS,Free
Drive Beyond Horizons,Rp 206 999
Marvel Rivals,Free
Once Human,Free
RuneScape: Dragonwilds,Rp 319 999
Conqueror's Blade,Free
Diablo® IV,Rp 409 200
Last Epoch,Rp 284 999
Crusader Kings III,Rp 536 999
The Long Dark,Rp 27 000
Split Fiction,Rp 569 000
Apex Legends™,Free
Monster Hunter Wilds,Rp 869 000
Warframe,Free
Baldur's Gate 3,Rp 699 999
Resident Evil 4,Rp 297 999
War Thunder,Free
Dota 2,Free
The Last of Us™ Part II Remastered,Rp 729 000
Dead by Daylight,Rp 219 890
EA SPORTS FC™ 25,Rp 799 000
Delta Force,Free
The Outlast Trials,Rp 119 999
eFootball™,Free
Tempest Rising,Rp 339 000
The Elder Scrolls® Online,Rp 266 000
Tom Clancy's Rainbow Six® Siege,Rp 229 000
NBA 2K25,Rp 222 250
Grounded,Rp 229 500
Sea of Thieves: 2025 Edition,Rp 224 500
Blue Prince,Rp 245 999
The Hundred Line -Last Defense Academy-,Rp 619 999
Age of Empires IV: Anniversary Edition,Rp 99 999
Rust,Rp 310 000
NARAKA: BLADEPOINT,Free
Path of Exile 2,Rp 478 185
Monster Hunter: World,Rp 110 549
Call of Duty®: Warzone™,Free
Farming Simulator 25,Rp 435 200
ELDEN RING,Rp 599 000
DJMAX RESPECT V,Rp 138 000
